grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,valid_days,zero_activity_days,zero_activity_ratio,activity_class,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,zero_inflow_days,zero_inflow_ratio,inflow_active_days,inflow_active_ratio,pre_activity_mean,pre_activity_median,pre_activity_std,pre_days,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_days,pre_active_ratio,baseline_class,january_activity_mean,january_activity_median,january_activity_std,january_days,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_days,post_mean_inflow,post_median_inflow,post_std_inflow,impact_change,impact_ratio,impact_class,impact_magnitude,affected_by_earthquake,inflow_change,inflow_impact_ratio,activity_loss,activity_recovered,inflow_loss,inflow_recovered,recovery_ratio,inflow_recovery_ratio,recovery_status,baseline_classification,final_class,classification_reason
1_20,20,1,1.0297887609000478,0.9776093958084084,1.1106696453759275,0.0,4.549566249456222,292,144,0.4931506849315068,LowActivity,1.0297887609000478,0.9776093958084084,1.1106696453759275,0.0,4.549566249456222,144,0.4931506849315068,148,0.5068493150684932,1.1415505356679658,1.0744644826697065,1.0407843439529814,54,1.1415505356679658,1.0744644826697065,1.0407843439529814,33,0.6111111111111112,SufficientBaseline,1.5084320900139507,1.703440073918228,0.9206670343367462,28,1.5084320900139507,1.703440073918228,0.9206670343367462,0.9372309082683484,0.0,1.136157048547863,210,0.9372309082683484,0.0,1.136157048547863,0.3668815543459849,0.3213887978523072,Increase,0.3668815543459849,False,0.3668815543459849,0.3213887978523072,-0.3668815543459849,-0.5712011817456024,-0.3668815543459849,-0.5712011817456024,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
3_90,90,3,3.3608175536033227,3.1244353339169466,1.9644607968934664,0.0,11.31757221412807,292,23,0.0787671232876712,Active,3.3608175536033227,3.1244353339169466,1.9644607968934664,0.0,11.31757221412807,23,0.0787671232876712,269,0.9212328767123288,3.6733608592444114,4.004280278150473,2.1177346786091147,54,3.6733608592444114,4.004280278150473,2.1177346786091147,50,0.925925925925926,SufficientBaseline,4.455465313564834,3.8943831865265257,1.9702864932903024,28,4.455465313564834,3.8943831865265257,1.9702864932903024,3.1344962403483647,2.813797645774315,1.870071818096852,210,3.1344962403483647,2.813797645774315,1.870071818096852,0.7821044543204225,0.21291250282481,Increase,0.7821044543204225,False,0.7821044543204225,0.21291250282481,-0.7821044543204225,-1.3209690732164692,-0.7821044543204225,-1.3209690732164692,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
4_32,32,4,1.3369808327334571,0.9707414184009192,1.6794248332299542,0.0,10.43188753384164,292,144,0.4931506849315068,LowActivity,1.3369808327334571,0.9707414184009192,1.6794248332299542,0.0,10.43188753384164,144,0.4931506849315068,148,0.5068493150684932,1.6397935733819782,1.4672183960265217,1.7385564210417992,54,1.6397935733819782,1.4672183960265217,1.7385564210417992,34,0.6296296296296297,SufficientBaseline,2.299950618587832,2.218836342468645,1.390085663693401,28,2.299950618587832,2.218836342468645,1.390085663693401,1.1307187279765876,0.0,1.6493232191274052,210,1.1307187279765876,0.0,1.6493232191274052,0.6601570452058538,0.4025854570489129,Increase,0.6601570452058538,False,0.6601570452058538,0.4025854570489129,-0.6601570452058538,-1.1692318906112444,-0.6601570452058538,-1.1692318906112444,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
4_34,34,4,3.081755235832102,2.2393633216641184,4.059487627238634,0.0,36.01096842184066,292,74,0.2534246575342466,Active,3.0800127223579,2.2393633216641184,4.037189153405005,0.0,35.85859478959028,74,0.2534246575342466,218,0.7465753424657534,4.11882464041526,2.8178657055079133,4.400807207855324,54,4.112769868306971,2.8178657055079133,4.358637561663394,52,0.9629629629629628,SufficientBaseline,9.63189719832589,7.922270869818721,7.413371482475478,28,9.623426125398325,7.995669954400062,7.338208857578478,1.941727984416309,1.8443916079387856,1.897951013696061,210,1.941991478708463,1.8443916079387856,1.8990653309026315,5.510656257091352,1.3398892798637971,Increase,5.510656257091352,False,5.510656257091352,1.3398892798637971,-5.510656257091352,-7.68143464668986,-5.510656257091352,-7.68143464668986,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
6_61,61,6,5.101009819400729,4.843025414012439,2.4511860990876064,0.0,12.371699438752286,292,4,0.0136986301369863,Active,5.099197538561178,4.843025414012439,2.449347840815471,0.0,12.371699438752286,4,0.0136986301369863,288,0.9863013698630136,4.99585387765037,4.899369323547845,2.0993653429438885,54,4.99585387765037,4.899369323547845,2.0993653429438885,54,1.0,SufficientBaseline,6.487659471001514,5.75857964149062,3.0103206853035207,28,6.487659471001514,5.75857964149062,3.0103206853035207,4.943163298494526,4.737631547405069,2.4066175627239392,210,4.940643365136674,4.737631547405069,2.4038436113830546,1.4918055933511445,0.2986087323380172,Increase,1.4918055933511445,False,1.4918055933511445,0.2986087323380172,-1.4918055933511445,-1.5470161058648395,-1.4918055933511445,-1.5470161058648395,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
12_45,45,12,2.3480303145206314,1.9489248809430768,2.3275509711194267,0.0,15.736356868732644,292,74,0.2534246575342466,Active,2.3480303145206314,1.9489248809430768,2.3275509711194267,0.0,15.736356868732644,74,0.2534246575342466,218,0.7465753424657534,2.150254712875692,1.930351225982404,2.3226291452228267,54,2.150254712875692,1.930351225982404,2.3226291452228267,39,0.7222222222222222,SufficientBaseline,5.7454545956205,4.512979001197339,3.4922231667072765,28,5.7454545956205,4.512979001197339,3.4922231667072765,1.9458969936541093,1.674837558729821,1.6972160364544515,210,1.9458969936541093,1.674837558729821,1.6972160364544515,3.595199882744808,1.6719879097191632,Increase,3.595199882744808,False,3.595199882744808,1.6719879097191632,-3.595199882744808,-3.799557601966391,-3.595199882744808,-3.799557601966391,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
18_69,69,18,1.1871467656295047,1.0555249886210305,1.988831472761796,0.0,18.0768909599682,292,136,0.4657534246575342,LowActivity,1.1874342630441523,1.0555249886210305,1.983169702419468,0.0,17.62870358079543,136,0.4657534246575342,156,0.5342465753424658,1.0045315176946,1.110803152536516,1.1092890713960315,54,1.0045315176946,1.110803152536516,1.1092890713960315,31,0.5740740740740741,SufficientBaseline,4.5221124941808055,3.462132193313672,4.510565223099174,28,4.525110681504988,3.462132193313672,4.481302841637413,0.789442875101164,0.0,0.9536282276390108,210,0.789442875101164,0.0,0.9536282276390108,3.520579163810388,3.50469756478136,Increase,3.520579163810388,False,3.520579163810388,3.50469756478136,-3.520579163810388,-3.735667806403824,-3.520579163810388,-3.735667806403824,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
18_89,89,18,2.1425975016917738,1.6884135553825743,2.208735137840258,0.0,12.900967530532482,292,91,0.3116438356164384,LowActivity,2.1425975016917738,1.6884135553825743,2.208735137840258,0.0,12.900967530532482,91,0.3116438356164384,201,0.6883561643835616,3.0187032219249,2.985463460193793,2.190802836767656,54,3.0187032219249,2.985463460193793,2.190802836767656,47,0.8703703703703703,SufficientBaseline,5.645890535607195,4.534985830223175,2.938240623512992,28,5.645890535607195,4.534985830223175,2.938240623512992,1.4502074357764376,1.3982761335846687,1.4614669816382797,210,1.4502074357764376,1.3982761335846687,1.4614669816382797,2.6271873136822945,0.8703032794350176,Increase,2.6271873136822945,False,2.6271873136822945,0.8703032794350176,-2.6271873136822945,-4.195683099830757,-2.6271873136822945,-4.195683099830757,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
19_52,52,19,4.6872443028372,4.261971865538971,2.6066454401156003,0.0,21.070550606624987,292,7,0.023972602739726,Active,4.696273678699915,4.296808997145355,2.641730272453766,0.0,22.03708962527751,7,0.023972602739726,285,0.976027397260274,4.770226693963334,4.4628586207071885,2.2652874062782,54,4.779759006108569,4.502751291206504,2.263131493710167,53,0.9814814814814816,SufficientBaseline,6.329492494911571,5.783898127925749,4.121603666928888,28,6.405272241199787,5.783898127925749,4.327221676324159,4.446939548080564,3.9738847010139873,2.354450273250805,210,4.446939548080564,3.9738847010139873,2.354450273250805,1.6255132350912185,0.3400826763470291,Increase,1.6255132350912185,False,1.6255132350912185,0.3400826763470291,-1.6255132350912185,-1.958332693119224,-1.6255132350912185,-1.958332693119224,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
21_90,90,21,1.021831274168455,0.9890763312116082,1.1877513955489043,0.0,6.105822774814534,292,140,0.4794520547945205,LowActivity,1.021831274168455,0.9890763312116082,1.1877513955489043,0.0,6.105822774814534,140,0.4794520547945205,152,0.5205479452054794,1.14681268052258,1.2607245360810453,1.0747851677012683,54,1.14681268052258,1.2607245360810453,1.0747851677012683,32,0.5925925925925926,SufficientBaseline,1.6017308096894562,1.3510437950393963,1.3309718789600329,28,1.6017308096894562,1.3510437950393963,1.3309718789600329,0.912373260179356,0.0,1.1753040970637394,210,0.912373260179356,0.0,1.1753040970637394,0.4549181291668762,0.3966804142413031,Increase,0.4549181291668762,False,0.4549181291668762,0.3966804142413031,-0.4549181291668762,-0.6893575495101003,-0.4549181291668762,-0.6893575495101003,,,NotDecreased,SufficientBaseline,Temporary Increase,Baseline sufficient; January inflow increased >= 20%; Post returned to or below Pre
